% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	correct	ccId
2240	1	4	18	0	28	1095	2	0	1	0
2240	2	6	23	0	8	437	0	1	1	1
2240	3	23	30	0	28	1095	2	0	1	0
2241	1	15	13	0	28	1095	1	0	0	0
2241	1	6	23	0	8	137	0	1	0	0
2241	2	15	13	0	28	1095	0	1	1	1
2241	2	13	16	0	8	209	0	1	1	1
2241	3	26	16	0	8	437	0	1	1	0
2242	1	14	2	0	6	75	0	1	1	0
2242	1	1	12	0	28	549	0	1	1	0
2242	1	15	13	0	28	549	0	1	0	0
2242	1	13	16	0	8	101	0	1	0	0
2243	1	11	24	0	12	621	0	1	1	0
2243	3	19	1	0	4	105	0	1	1	0
2243	3	30	25	0	4	105	0	1	1	0
2244	1	4	18	0	28	2292	1	0	0	0
2244	2	13	16	0	8	209	0	1	0	1
2244	2	9	26	0	8	209	0	1	1	1
2244	3	20	29	0	28	2292	2	0	1	0
2244	4	25	4	0	8	209	0	1	1	1
2244	4	24	23	0	4	105	0	1	1	1
2245	1	12	4	0	12	149	0	1	1	0
2245	1	15	13	0	28	549	0	1	0	0
2245	1	13	16	0	8	101	0	1	0	0
2245	1	9	26	0	8	101	0	1	0	0
2245	2	12	4	0	12	301	0	1	1	1
2245	2	15	13	0	28	1095	0	1	0	1
2246	1	7	25	0	8	437	0	1	1	0
2246	3	21	15	0	10	549	0	1	1	0
2247	3	17	14	0	6	153	0	1	1	0
2247	3	20	29	0	28	1095	0	1	1	0
2248	1	15	13	0	28	1095	2	0	1	0
2249	1	8	17	0	8	437	0	1	1	0
2249	3	22	28	0	28	1095	0	1	0	0
2249	3	23	30	0	28	1095	0	1	0	0
2250	3	28	26	0	10	549	0	1	1	0
2251	1	4	18	0	28	2292	2	0	1	0
2251	2	10	3	0	6	153	0	1	1	1
2251	2	4	18	0	28	1095	0	1	1	1
2251	3	27	24	0	8	437	0	1	1	0
2252	1	10	3	0	6	101	0	1	0	0
2252	1	4	18	0	28	749	0	1	0	0
2252	1	6	23	0	8	137	0	1	1	0
2252	3	16	17	0	6	153	0	1	1	0
2252	3	20	29	0	28	1095	0	1	0	0
2252	4	16	17	0	6	153	0	1	1	1
2252	4	20	29	0	28	1095	0	1	0	1
2253	1	13	16	0	8	437	0	1	1	0
2253	3	25	4	0	8	437	0	1	1	0
2254	1	1	12	0	28	2292	0	1	0	0
2254	3	19	1	0	4	105	0	1	1	0
2254	3	29	3	0	10	261	0	1	1	0
2255	1	2	1	0	8	209	0	1	1	0
2255	1	11	24	0	12	301	0	1	1	0
2256	1	15	13	0	28	2292	0	1	0	0
2256	3	22	28	0	28	1095	1	0	0	0
2256	3	23	30	0	28	1095	1	0	0	0
2259	3	26	16	0	8	209	0	1	1	0
2259	3	22	28	0	28	1095	0	1	1	0
2260	1	12	4	0	12	621	0	1	1	0
2260	3	17	14	0	6	325	0	1	1	0
2261	1	1	12	0	28	2292	1	0	0	0
2261	2	5	15	0	4	225	0	1	1	1
2261	3	24	23	0	4	225	0	1	1	0
2263	1	15	13	0	28	2292	1	0	0	0
2263	2	9	26	0	8	437	0	1	1	1
2263	3	22	28	0	28	1095	2	0	1	0
2263	3	23	30	0	28	1095	2	0	1	0
2263	4	18	2	0	10	261	0	1	1	1
2263	4	30	25	0	4	105	0	1	1	1
2264	1	14	2	0	6	101	0	1	1	0
2264	1	3	14	0	8	137	0	1	1	0
2264	1	9	26	0	8	137	0	1	0	0
2264	2	14	2	0	6	153	0	1	1	1
2264	2	3	14	0	8	209	0	1	0	1
2264	3	18	2	0	10	129	0	1	0	0
2264	3	25	4	0	8	101	0	1	1	0
2264	3	26	16	0	8	101	0	1	0	0
2264	3	30	25	0	4	51	0	1	0	0
2264	4	25	4	0	8	209	0	1	1	1
2264	4	26	16	0	8	209	0	1	0	1
2265	1	10	3	0	6	153	0	1	1	0
2265	1	4	18	0	28	1095	0	1	1	0
2265	3	17	14	0	6	153	0	1	0	0
2265	3	23	30	0	28	1095	0	1	0	0
2266	1	6	23	0	8	437	0	1	1	0
2266	3	28	26	0	10	261	0	1	1	0
2266	3	20	29	0	28	1095	0	1	0	0
2267	1	13	16	0	8	437	0	1	1	0
2267	3	19	1	0	4	225	0	1	1	0
2268	1	1	12	0	28	2292	2	0	1	0
2269	1	1	12	0	28	2292	0	1	1	0
2270	1	15	13	0	28	2292	2	0	0	0
2270	2	2	1	0	8	437	0	1	1	1
2270	3	27	24	0	8	437	0	1	1	0
2272	1	1	12	0	28	1095	0	1	0	0
2272	1	15	13	0	28	1095	0	1	1	0
2272	3	19	1	0	4	69	0	1	0	0
2272	3	23	30	0	28	1095	1	0	1	0
2272	4	19	1	0	4	105	0	1	0	1
2272	4	26	16	0	8	209	0	1	1	1
2273	1	11	24	0	12	621	0	1	1	0
2273	3	26	16	0	8	137	0	1	1	0
2273	3	20	29	0	28	1095	1	0	0	0
2273	4	21	15	0	10	549	0	1	1	1
2274	1	9	26	0	8	437	0	1	1	0
2275	1	7	25	0	8	437	0	1	1	0
2275	3	18	2	0	10	549	0	1	1	0
2276	1	14	2	0	6	325	0	1	1	0
2276	3	29	3	0	10	549	0	1	1	0
2277	1	15	13	0	28	2292	3	0	1	0
2277	2	15	13	0	28	1095	0	1	0	1
