% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	ccId
2173	3	20	29	0	28	2292	0	1	0
2173	4	20	29	0	28	2292	0	1	1
2174	1	13	16	0	8	437	0	1	0
2174	2	13	16	0	8	437	0	1	1
2174	3	17	14	0	6	153	0	1	0
2174	3	24	23	0	4	105	0	1	0
2174	4	17	14	0	6	153	0	1	1
2174	4	24	23	0	4	105	0	1	1
2175	1	1	12	0	28	1095	0	0	0
2175	1	15	13	0	28	1095	0	0	0
2175	2	13	16	0	8	209	0	1	1
2175	2	11	24	0	12	301	0	1	1
2175	3	20	29	0	28	2292	0	1	0
2175	4	20	29	0	28	2292	0	1	1
2176	1	9	26	0	8	137	0	1	0
2176	1	11	24	0	12	201	0	1	0
2176	1	13	16	0	8	137	0	1	0
2176	2	9	26	0	8	437	0	1	1
2177	1	3	14	0	8	209	0	1	0
2177	1	15	13	0	28	1095	0	1	0
2177	2	3	14	0	8	209	0	1	1
2177	2	15	13	0	28	1095	0	1	1
2177	3	28	26	0	10	549	0	1	0
2177	4	28	26	0	10	549	0	1	1
2178	1	4	18	0	28	1095	0	1	0
2178	1	12	4	0	12	301	0	1	0
2178	2	12	4	0	12	301	0	1	1
2178	2	4	18	0	28	1095	0	1	1
2178	3	28	26	0	10	261	0	1	0
2178	3	29	3	0	10	261	0	1	0
2178	4	29	3	0	10	261	0	1	1
2178	4	28	26	0	10	261	0	1	1
2179	1	8	17	0	8	437	0	1	0
2179	2	8	17	0	8	437	0	1	1
2179	3	18	2	0	10	549	0	1	0
2179	4	18	2	0	10	549	0	1	1
2180	1	3	14	0	8	209	0	1	0
2180	1	14	2	0	6	153	0	1	0
2180	2	14	2	0	6	153	0	1	1
2180	2	3	14	0	8	209	0	1	1
2180	3	20	29	0	28	2292	0	0	0
2180	4	25	4	0	8	209	0	1	1
2180	4	23	30	0	28	1095	0	1	1
2181	1	8	17	0	8	209	0	1	0
2181	1	10	3	0	6	153	0	1	0
2181	2	10	3	0	6	153	0	1	1
2181	2	8	17	0	8	209	0	1	1
2181	3	23	30	0	28	749	0	1	0
2181	3	25	4	0	8	137	0	1	0
2181	3	27	24	0	8	137	0	1	0
2181	4	27	24	0	8	437	0	1	1
2182	1	6	23	0	8	437	0	1	0
2182	2	6	23	0	8	437	0	1	1
2182	3	22	28	0	28	2292	0	1	0
2182	4	22	28	0	28	2292	0	1	1
2183	1	7	25	0	8	437	0	1	0
2183	2	7	25	0	8	437	0	1	1
2183	3	16	17	0	6	325	0	1	0
2183	4	16	17	0	6	325	0	1	1
2184	1	13	16	0	8	209	0	1	0
2184	1	15	13	0	28	1095	0	0	0
2184	2	13	16	0	8	437	0	1	1
2184	3	21	15	0	10	261	0	1	0
2184	3	26	16	0	8	209	0	1	0
2184	4	21	15	0	10	261	0	1	1
2184	4	26	16	0	8	209	0	1	1
2185	1	11	24	0	12	621	0	1	0
2185	2	11	24	0	12	621	0	1	1
2185	3	23	30	0	28	1095	0	1	0
2185	3	30	25	0	4	105	0	1	0
2185	4	30	25	0	4	105	0	1	1
2185	4	23	30	0	28	1095	0	1	1
2186	1	2	1	0	8	209	0	1	0
2186	1	9	26	0	8	209	0	1	0
2186	2	2	1	0	8	209	0	1	1
2186	2	9	26	0	8	209	0	1	1
2186	3	22	28	0	28	2292	0	1	0
2186	4	22	28	0	28	2292	0	1	1
2187	1	7	25	0	8	209	0	1	0
2187	1	15	13	0	28	1095	0	1	0
2187	2	15	13	0	28	1095	0	1	1
2187	2	7	25	0	8	209	0	1	1
2187	4	23	30	0	28	1095	0	0	1
2188	1	4	18	0	28	1095	0	1	0
2188	1	15	13	0	28	1095	0	1	0
2188	2	15	13	0	28	1095	0	1	1
2188	2	4	18	0	28	1095	0	1	1
2188	3	17	14	0	6	325	0	1	0
2188	4	17	14	0	6	325	0	1	1
2189	1	3	14	0	8	437	0	1	0
2189	2	3	14	0	8	437	0	1	1
2189	3	22	28	0	28	2292	0	0	0
2189	4	19	1	0	4	105	0	1	1
2189	4	21	15	0	10	261	0	1	1
2190	1	12	4	0	12	301	0	1	0
2190	1	14	2	0	6	153	0	1	0
2190	2	12	4	0	12	301	0	1	1
2190	2	14	2	0	6	153	0	1	1
2190	3	18	2	0	10	129	0	1	0
2190	3	19	1	0	4	51	0	1	0
2190	3	21	15	0	10	129	0	1	0
2190	3	28	26	0	10	129	0	1	0
2190	4	18	2	0	10	261	0	1	1
2190	4	28	26	0	10	261	0	1	1
2191	1	1	12	0	28	1095	0	1	0
2191	1	15	13	0	28	1095	0	0	0
2191	2	1	12	0	28	2292	0	1	1
2191	3	19	1	0	4	105	0	1	0
2191	3	26	16	0	8	209	0	1	0
2191	4	19	1	0	4	105	0	1	1
2191	4	26	16	0	8	209	0	1	1
2192	1	10	3	0	6	325	0	1	0
2192	2	10	3	0	6	325	0	1	1
2192	3	23	30	0	28	1095	0	0	0
2192	3	24	23	0	4	105	0	1	0
2192	4	24	23	0	4	105	0	1	1
2192	4	23	30	0	28	1095	0	1	1
2193	1	13	16	0	8	437	0	1	0
2193	2	13	16	0	8	437	0	1	1
2193	3	20	29	0	28	1095	0	1	0
2193	3	23	30	0	28	1095	0	1	0
2193	4	20	29	0	28	2292	0	1	1
2194	1	6	23	0	8	437	0	1	0
2194	2	6	23	0	8	437	0	1	1
2194	3	26	16	0	8	209	0	1	0
2194	3	28	26	0	10	261	0	1	0
2194	4	26	16	0	8	209	0	1	1
2194	4	28	26	0	10	261	0	1	1
2195	1	1	12	0	28	749	0	1	0
2195	1	4	18	0	28	1095	0	0	0
2195	2	1	12	0	28	1095	0	1	1
2195	2	13	16	0	8	209	0	1	1
2195	3	16	17	0	6	325	0	1	0
2195	4	16	17	0	6	325	0	1	1
2196	1	2	1	0	8	137	0	1	0
2196	1	11	24	0	12	201	0	1	0
2196	1	13	16	0	8	137	0	1	0
2196	2	2	1	0	8	209	0	1	1
2196	2	11	24	0	12	301	0	1	1
2196	3	22	28	0	28	2292	0	0	0
2196	4	29	3	0	10	261	0	1	1
2196	4	30	25	0	4	105	0	1	1
2197	1	9	26	0	8	209	0	1	0
2197	1	14	2	0	6	153	0	1	0
2197	2	14	2	0	6	153	0	1	1
2197	2	9	26	0	8	209	0	1	1
2197	3	24	23	0	4	69	0	1	0
2197	3	29	3	0	10	173	0	1	0
2197	3	30	25	0	4	69	0	1	0
2197	4	24	23	0	4	225	0	1	1
2198	1	1	12	0	28	1095	0	0	0
2198	1	3	14	0	8	209	0	1	0
2198	2	3	14	0	8	437	0	1	1
