% time	cellId	IMSI	frame	sframe	RNTI	mcsTb1	sizeTb1	mcsTb2	sizeTb2	ccId
1.108	3	30	111	9	25	20	1191	0	0	1
1.109	1	7	111	10	25	20	1191	0	0	0
1.109	3	23	111	10	30	24	1620	0	0	0
1.109	3	22	111	10	28	20	1191	0	0	1
1.11	1	5	112	1	15	22	1383	0	0	0
1.11	1	11	112	1	24	24	1620	0	0	1
1.11	3	22	112	1	28	20	1191	0	0	0
1.11	3	17	112	1	14	22	1383	0	0	1
1.111	1	5	112	2	15	22	1383	0	0	1
1.111	3	17	112	2	14	12	597	0	0	0
1.111	3	26	112	2	16	22	1383	0	0	1
1.112	1	13	112	3	16	22	1383	0	0	0
1.112	3	27	112	3	24	22	1383	0	0	0
1.113	3	20	112	4	29	14	775	0	0	0
1.113	3	20	112	4	29	26	1836	0	0	1
1.114	1	2	112	5	1	8	421	0	0	0
1.114	1	1	112	5	12	24	1620	0	0	1
1.114	3	16	112	5	17	8	421	0	0	0
1.115	1	4	112	6	18	12	597	0	0	0
1.115	1	4	112	6	18	24	1620	0	0	1
1.115	3	16	112	6	17	8	421	0	0	0
1.116	1	2	112	7	1	20	1191	0	0	0
1.116	1	2	112	7	1	20	1191	0	0	1
1.117	1	1	112	8	12	24	1620	0	0	0
1.12	1	15	113	1	13	20	1191	0	0	0
1.12	1	15	113	1	13	12	597	0	0	1
1.121	3	24	113	2	23	20	1191	0	0	0
1.121	3	24	113	2	23	20	1191	0	0	1
1.129	3	29	113	10	3	22	1383	0	0	0
1.129	3	29	113	10	3	22	1383	0	0	1
1.13	1	8	114	1	17	26	1836	0	0	0
1.13	1	8	114	1	17	26	1836	0	0	1
1.132	1	12	114	3	4	24	1620	0	0	0
1.132	1	12	114	3	4	24	1620	0	0	1
1.132	3	25	114	3	4	24	1620	0	0	0
1.132	3	25	114	3	4	24	1620	0	0	1
1.135	1	9	114	6	26	26	1836	0	0	0
1.135	1	9	114	6	26	26	1836	0	0	1
1.137	1	6	114	8	23	24	1620	0	0	0
1.137	1	7	114	8	25	20	1191	0	0	1
1.137	3	18	114	8	2	26	1836	0	0	0
1.137	3	18	114	8	2	26	1836	0	0	1
1.138	1	7	114	9	25	20	1191	0	0	0
1.138	1	14	114	9	2	24	1620	0	0	1
1.138	3	21	114	9	15	26	1836	0	0	0
1.138	3	21	114	9	15	26	1836	0	0	1
1.139	1	12	114	10	4	24	1620	0	0	0
1.139	1	12	114	10	4	24	1620	0	0	1
1.139	3	25	114	10	4	24	1620	0	0	0
1.139	3	25	114	10	4	24	1620	0	0	1
1.14	1	14	115	1	2	12	597	0	0	0
1.14	1	6	115	1	23	24	1620	0	0	1
1.141	1	3	115	2	14	24	1620	0	0	0
